window_id,participant_id,session_id,recording_date,scenario_id,trajectory_id,worker_id,hazard_id,window_started_at,window_ended_at,window_duration_seconds,sample_count,rssi_mean,rssi_peak,rssi_min,rssi_std,rssi_slope,warning_duration_seconds,danger_duration_seconds,state_transition_count,packet_loss_ratio,acceleration_mean_g,acceleration_max_g,acceleration_energy,gyroscope_mean_dps,gyroscope_max_dps,gyroscope_energy,orientation_change_deg,sudden_motion,hazard_active,repeated_exposure_count,hazard_type,escalated_within_horizon,target_source,data_origin
WIN-0000020,P020,S01,2026-03-13,SUDDEN_MOTION_AFTER_WARNING,TRJ-P020-S01-000001,W20,F01,2026-03-13T07:00:00+00:00,2026-03-13T07:00:10.035389+00:00,10.035,100,-58.936,-53.843,-64.687,4.098,2.1573,2.322,2.749,1,0.1007,1.2771,2.5966,1.3822,91.393,224.09,4557.426,42.125,True,True,3,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000021,P021,S01,2026-03-16,FALL_CANDIDATE,TRJ-P021-S01-000001,W01,F01,2026-03-16T07:00:00+00:00,2026-03-16T07:00:09.956428+00:00,9.956,80,-65.275,-56.762,-74.547,5.512,1.2723,2.254,0.857,2,0.095,1.3928,3.5505,1.5418,100.166,361.812,38170.119,77.21,True,True,3,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000022,P022,S01,2026-03-19,NORMAL_WORK_NEAR_MACHINE,TRJ-P022-S01-000001,W02,F02,2026-03-19T07:00:00+00:00,2026-03-19T07:00:10.507929+00:00,10.508,84,-72.964,-67.524,-76.96,3.881,0.9253,4.449,0.0,0,0.0219,1.1493,1.2388,0.0,26.758,80.487,1583.908,0.0,False,True,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000023,P023,S01,2026-03-22,SUDDEN_MOTION_AFTER_WARNING,TRJ-P023-S01-000001,W03,F03,2026-03-22T07:00:00+00:00,2026-03-22T07:00:10.137263+00:00,10.137,101,-66.969,-61.61,-71.996,3.199,0.8279,3.811,3.041,1,0.0358,1.115,2.9412,1.0191,82.988,283.959,23825.332,22.057,True,True,3,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000024,P024,S01,2026-03-25,RSSI_FLUCTUATION,TRJ-P024-S01-000001,W04,L01,2026-03-25T07:00:00+00:00,2026-03-25T07:00:09.717311+00:00,9.717,78,-71.55,-58.122,-85.105,9.408,-0.6224,2.188,0.637,2,0.0685,1.1027,1.1027,0.0179,13.374,17.314,71.6,0.0,False,False,1,LASER_CUTTER,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000025,P025,S01,2026-03-28,HAZARD_INACTIVE,TRJ-P025-S01-000001,W05,F03,2026-03-28T07:00:00+00:00,2026-03-28T07:00:09.776928+00:00,9.777,78,-58.719,-52.004,-66.848,4.962,0.5832,2.644,0.723,0,0.0463,1.0569,1.8067,0.2141,22.893,47.468,375.563,15.372,False,False,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000026,P026,S01,2026-03-31,NORMAL_PASSAGE,TRJ-P026-S01-000001,W06,G01,2026-03-31T07:00:00+00:00,2026-03-31T07:00:09.623528+00:00,9.624,48,-81.574,-78.442,-86.233,2.152,-0.2527,0.714,0.0,4,0.0539,0.9688,1.0893,0.0,24.316,39.485,406.184,5.73,False,True,0,GRINDING_MACHINE,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000027,P027,S01,2026-04-03,REPEATED_EXPOSURE,TRJ-P027-S01-000001,W07,F03,2026-04-03T07:00:00+00:00,2026-04-03T07:00:10.512991+00:00,10.513,105,-58.136,-51.857,-65.173,4.483,0.4963,4.587,2.649,2,0.0469,1.3991,1.887,0.2791,34.899,105.402,3093.296,10.854,False,True,3,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000028,P028,S01,2026-01-06,FORKLIFT_APPROACH,TRJ-P028-S01-000001,W08,F01,2026-01-06T07:00:00+00:00,2026-01-06T07:00:10.101951+00:00,10.102,101,-68.017,-61.86,-74.677,4.455,2.5886,3.108,2.235,2,0.0705,1.0284,1.8647,0.3817,29.105,100.83,1242.507,13.174,False,True,2,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000029,P029,S01,2026-01-09,FORKLIFT_APPROACH,TRJ-P029-S01-000001,W09,F03,2026-01-09T07:00:00+00:00,2026-01-09T07:00:10.247344+00:00,10.247,82,-65.384,-60.333,-70.467,4.779,1.6389,3.349,0.868,3,0.0908,0.9207,1.8231,0.3087,32.713,37.386,292.437,0.0,True,True,0,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000030,P030,S01,2026-01-12,FALL_CANDIDATE,TRJ-P030-S01-000001,W10,L01,2026-01-12T07:00:00+00:00,2026-01-12T07:00:10.035753+00:00,10.036,80,-65.736,-59.877,-72.494,3.949,1.1697,1.882,1.858,2,0.0786,1.3351,3.5506,1.1211,106.651,385.438,25251.27,89.404,True,True,1,LASER_CUTTER,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000031,P031,S01,2026-01-15,NORMAL_PASSAGE,TRJ-P031-S01-000001,W11,L01,2026-01-15T07:00:00+00:00,2026-01-15T07:00:09.940113+00:00,9.94,80,-86.828,-82.981,-89.374,1.997,-0.7646,0.78,0.0,1,0.0067,1.1048,1.2251,0.0494,13.834,17.037,72.593,6.752,False,True,0,LASER_CUTTER,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000032,P032,S01,2026-01-18,NORMAL_PASSAGE,TRJ-P032-S01-000001,W12,F03,2026-01-18T07:00:00+00:00,2026-01-18T07:00:10.278001+00:00,10.278,82,-82.494,-77.449,-88.061,3.212,0.2774,0.403,0.0,2,0.0251,0.8947,1.3956,0.0607,14.288,53.229,285.097,2.399,False,False,1,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000033,P033,S01,2026-01-21,FORKLIFT_CROSSING,TRJ-P033-S01-000001,W13,F02,2026-01-21T07:00:00+00:00,2026-01-21T07:00:09.854840+00:00,9.855,49,-67.814,-62.13,-70.669,3.559,1.3706,2.716,1.615,3,0.0,1.286,2.6196,0.8335,36.602,160.044,6802.438,18.494,True,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000034,P034,S01,2026-01-24,NORMAL_WORK_NEAR_MACHINE,TRJ-P034-S01-000001,W14,F03,2026-01-24T07:00:00+00:00,2026-01-24T07:00:09.923647+00:00,9.924,79,-75.449,-74.49,-76.759,0.721,0.9539,4.021,0.973,0,0.1295,0.847,0.847,0.0459,13.072,33.381,135.325,25.7,False,True,1,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000035,P035,S01,2026-01-27,REPEATED_EXPOSURE,TRJ-P035-S01-000001,W15,L01,2026-01-27T07:00:00+00:00,2026-01-27T07:00:10.144037+00:00,10.144,81,-67.915,-59.847,-75.58,5.186,1.4293,3.144,2.191,0,0.0658,1.2148,1.8068,0.3916,43.609,116.148,2231.665,29.937,False,True,5,LASER_CUTTER,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000036,P036,S01,2026-01-30,PROLONGED_DANGER,TRJ-P036-S01-000001,W16,L01,2026-01-30T07:00:00+00:00,2026-01-30T07:00:09.932899+00:00,9.933,99,-56.002,-47.731,-63.875,4.657,0.7942,0.169,6.209,1,0.0516,1.21,1.7936,0.1421,31.241,89.291,1142.27,31.534,False,True,3,LASER_CUTTER,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000037,P037,S01,2026-02-02,FORKLIFT_APPROACH,TRJ-P037-S01-000001,W17,F03,2026-02-02T07:00:00+00:00,2026-02-02T07:00:10.043981+00:00,10.044,80,-64.794,-57.597,-71.788,3.427,1.9542,3.633,0.834,1,0.1077,1.2981,1.6623,0.1227,24.729,143.391,5946.01,11.94,False,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000038,P038,S01,2026-02-05,FORKLIFT_APPROACH,TRJ-P038-S01-000001,W18,F01,2026-02-05T07:00:00+00:00,2026-02-05T07:00:09.912868+00:00,9.913,50,-64.256,-58.273,-69.66,3.685,3.2957,4.417,1.717,0,0.0434,1.2514,2.1744,0.789,18.52,91.292,1910.807,25.041,False,True,3,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000039,P039,S01,2026-02-08,NORMAL_WORK_NEAR_MACHINE,TRJ-P039-S01-000001,W19,F02,2026-02-08T07:00:00+00:00,2026-02-08T07:00:10.055225+00:00,10.055,50,-75.488,-71.61,-79.827,2.425,-0.4719,3.829,0.0,1,0.0,0.9303,1.415,0.0647,6.27,51.862,337.552,16.529,False,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000040,P040,S01,2026-02-11,BLE_PACKET_LOSS,TRJ-P040-S01-000001,W20,G01,2026-02-11T07:00:00+00:00,2026-02-11T07:00:10.891042+00:00,10.891,87,-76.375,-68.134,-83.839,5.246,0.108,1.884,0.497,4,0.3561,0.8755,1.0512,0.0,34.919,70.45,1346.269,19.904,False,True,1,GRINDING_MACHINE,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000041,P001,S02,2026-01-22,FORKLIFT_APPROACH,TRJ-P001-S02-000001,W01,F01,2026-01-22T08:00:00+00:00,2026-01-22T08:00:10.408047+00:00,10.408,104,-68.294,-63.117,-73.61,2.943,2.4141,2.679,1.017,1,0.0264,1.0407,1.839,0.1534,21.454,126.723,1398.81,21.293,True,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000042,P002,S02,2026-01-25,FORKLIFT_CROSSING,TRJ-P002-S02-000001,W02,F02,2026-01-25T08:00:00+00:00,2026-01-25T08:00:09.993439+00:00,9.993,80,-66.178,-60.903,-73.866,4.789,0.7949,3.885,1.891,2,0.0521,1.162,1.8533,0.3055,39.905,99.763,1404.781,28.265,True,True,0,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000043,P003,S02,2026-01-28,FORKLIFT_APPROACH,TRJ-P003-S02-000001,W03,F01,2026-01-28T08:00:00+00:00,2026-01-28T08:00:09.701276+00:00,9.701,49,-65.621,-56.912,-74.138,7.095,1.9489,3.974,1.019,3,0.0185,1.4078,2.173,0.4866,27.936,114.035,2280.975,23.85,False,False,1,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000044,P004,S02,2026-01-31,PROLONGED_DANGER,TRJ-P004-S02-000001,W04,G01,2026-01-31T08:00:00+00:00,2026-01-31T08:00:10.339204+00:00,10.339,52,-58.6,-53.73,-64.837,3.736,1.6632,3.247,6.745,1,0.0206,1.0742,1.5588,0.1692,20.314,97.898,1172.009,11.741,False,True,1,GRINDING_MACHINE,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000045,P005,S02,2026-02-03,PROLONGED_DANGER,TRJ-P005-S02-000001,W05,F02,2026-02-03T08:00:00+00:00,2026-02-03T08:00:09.679849+00:00,9.68,97,-57.412,-51.367,-62.125,4.325,0.7135,2.379,6.459,3,0.0317,1.0684,1.653,0.2598,13.551,72.406,1383.094,2.387,False,True,2,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000046,P006,S02,2026-02-06,SUDDEN_MOTION_AFTER_WARNING,TRJ-P006-S02-000001,W06,F02,2026-02-06T08:00:00+00:00,2026-02-06T08:00:10.089278+00:00,10.089,101,-59.623,-52.333,-68.186,5.337,2.7975,2.23,2.493,1,0.1093,1.5232,3.3413,3.015,73.607,210.744,9870.127,39.418,True,True,0,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000047,P007,S02,2026-02-09,REPEATED_EXPOSURE,TRJ-P007-S02-000001,W07,L01,2026-02-09T08:00:00+00:00,2026-02-09T08:00:10.012594+00:00,10.013,80,-63.016,-57.51,-68.195,2.804,1.1502,4.706,4.014,0,0.0225,1.1851,1.9174,0.1738,37.944,125.75,4377.731,19.621,False,True,5,LASER_CUTTER,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000048,P008,S02,2026-02-12,NORMAL_WORK_NEAR_MACHINE,TRJ-P008-S02-000001,W08,F01,2026-02-12T08:00:00+00:00,2026-02-12T08:00:10.415879+00:00,10.416,83,-72.596,-67.959,-76.63,1.723,-0.4545,3.036,0.846,3,0.0329,0.9954,1.3954,0.0423,25.289,40.397,143.182,7.559,False,True,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000049,P009,S02,2026-02-15,SUDDEN_MOTION_AFTER_WARNING,TRJ-P009-S02-000001,W09,L01,2026-02-15T08:00:00+00:00,2026-02-15T08:00:10.002533+00:00,10.003,50,-58.795,-52.815,-65.279,4.088,1.1348,3.153,2.675,0,0.0388,1.4691,2.9643,0.7074,74.337,253.577,13417.39,31.801,True,True,1,LASER_CUTTER,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000050,P010,S02,2026-02-18,REPEATED_EXPOSURE,TRJ-P010-S02-000001,W10,F03,2026-02-18T08:00:00+00:00,2026-02-18T08:00:10.500837+00:00,10.501,53,-59.718,-53.822,-65.415,4.091,0.1551,3.715,0.974,0,0.0471,0.9537,1.7956,0.1684,18.195,109.078,2176.547,29.381,False,True,4,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000051,P011,S02,2026-02-21,NORMAL_PASSAGE,TRJ-P011-S02-000001,W11,F03,2026-02-21T08:00:00+00:00,2026-02-21T08:00:09.934975+00:00,9.935,50,-85.226,-83.008,-87.508,1.27,-0.8648,0.727,0.552,2,0.0,0.9831,1.131,0.0459,0.01,49.908,585.935,12.485,False,True,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000052,P012,S02,2026-02-24,FORKLIFT_APPROACH,TRJ-P012-S02-000001,W12,F02,2026-02-24T08:00:00+00:00,2026-02-24T08:00:09.643493+00:00,9.643,77,-63.105,-59.412,-68.306,2.458,1.8095,4.382,1.311,4,0.0584,1.0807,1.8774,0.2229,14.451,100.572,1692.307,8.411,True,True,3,FORKLIFT,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000053,P013,S02,2026-02-27,REPEATED_EXPOSURE,TRJ-P013-S02-000001,W13,G01,2026-02-27T08:00:00+00:00,2026-02-27T08:00:09.641257+00:00,9.641,48,-62.453,-54.694,-65.024,3.048,1.1505,3.834,3.2,3,0.0002,1.3567,2.0038,0.2857,44.592,101.632,1663.955,9.103,False,True,3,GRINDING_MACHINE,1,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000054,P014,S02,2026-03-02,NORMAL_PASSAGE,TRJ-P014-S02-000001,W14,G01,2026-03-02T08:00:00+00:00,2026-03-02T08:00:09.885885+00:00,9.886,79,-86.629,-81.02,-90.664,2.968,-0.2786,1.637,0.0,0,0.0862,0.9992,1.7476,0.1403,8.075,61.644,1057.831,18.793,False,False,0,GRINDING_MACHINE,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000055,P015,S02,2026-03-05,SUDDEN_MOTION_AFTER_WARNING,TRJ-P015-S02-000001,W15,F02,2026-03-05T08:00:00+00:00,2026-03-05T08:00:09.275525+00:00,9.276,93,-66.88,-62.812,-72.552,2.875,1.3299,3.77,1.23,0,0.0525,1.4127,2.6267,1.2857,64.192,239.604,10483.742,50.341,True,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000056,P016,S02,2026-03-08,NORMAL_WORK_NEAR_MACHINE,TRJ-P016-S02-000001,W16,F03,2026-03-08T08:00:00+00:00,2026-03-08T08:00:10.584313+00:00,10.584,106,-77.015,-71.018,-81.83,2.837,-2.2319,4.329,0.0,2,0.0668,0.9453,1.2048,0.0615,0.326,78.862,983.147,15.163,False,True,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000057,P017,S02,2026-03-11,AIR_QUALITY_DEGRADATION,TRJ-P017-S02-000001,W17,F02,2026-03-11T08:00:00+00:00,2026-03-11T08:00:10.080543+00:00,10.081,81,-76.515,-71.535,-84.271,3.59,0.3967,2.029,0.0,1,0.0507,0.9411,1.4118,0.0451,10.407,71.044,1382.55,0.0,False,False,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000058,P018,S02,2026-03-14,FORKLIFT_APPROACH,TRJ-P018-S02-000001,W18,F01,2026-03-14T08:00:00+00:00,2026-03-14T08:00:10.297979+00:00,10.298,51,-66.768,-62.666,-71.276,3.432,3.0344,3.426,1.868,3,0.0763,1.3926,1.4436,0.143,21.765,56.37,755.655,13.33,True,True,1,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000059,P019,S02,2026-03-17,FORKLIFT_APPROACH,TRJ-P019-S02-000001,W19,F01,2026-03-17T08:00:00+00:00,2026-03-17T08:00:10.138567+00:00,10.139,101,-66.647,-58.466,-73.471,4.903,3.6919,3.687,1.344,0,0.0,0.9183,1.5391,0.069,22.92,88.434,639.081,0.0,False,True,2,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000060,P020,S02,2026-03-20,NORMAL_WORK_NEAR_MACHINE,TRJ-P020-S02-000001,W20,G01,2026-03-20T08:00:00+00:00,2026-03-20T08:00:10.795375+00:00,10.795,108,-70.738,-64.401,-75.695,2.893,0.3345,4.622,0.0,2,0.0821,1.0242,1.0242,0.0152,16.646,55.058,431.968,9.718,False,True,2,GRINDING_MACHINE,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
WIN-0000061,P021,S02,2026-03-23,NORMAL_PASSAGE,TRJ-P021-S02-000001,W01,F03,2026-03-23T08:00:00+00:00,2026-03-23T08:00:10.683519+00:00,10.684,53,-77.684,-73.712,-79.971,2.654,0.3832,2.073,0.757,2,0.022,0.9576,1.2111,0.0465,7.786,15.239,32.963,13.612,False,True,0,FORKLIFT,0,SYNTHETIC_CONTROLLED_SCENARIO,SYNTHETIC
